"Tabela 7283 - Indicador 7.b.1 (também se aplica ao indicador 12.a.1) - Capacidade instalada de renováveis per capita."
"Variável - Capacidade instalada de renováveis per capita"
"Nível";"";"Ano"
"Nível";"";"2013";;"2014";;"2015";;"2016";;"2017";;"2018";;"2019";;"2020";;"2021";;"2022";;"2023"
"BR";"Brasil";"496,99";"Watts";"525,36";"Watts";"551,00";"Watts";"588,85";"Watts";"617,59";"Watts";"648,68";"Watts";"682,83";"Watts";"704,62";"Watts";"745,58";"Watts";"810,73";"Watts";"891,39";"Watts"
"Fonte: IBGE - Objetivos de Desenvolvimento Sustentável"

""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
